French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
main,hand
première,first
côté,side
sois,be
tiens,here
matin,morning
tellement,so much
point,point
suite,after
droit,law
aimerais,would like to
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
compte,account
fin,end
gros,large
plutôt,rather
bureau,office
